"","AIC","BIC"
"Exponential",833.491363737987,837.115381244174
"Weibull (AFT)",832.193136208556,839.441171220931
"Gompertz",834.532882765834,841.780917778209
"Gen. Gamma",833.106465462839,843.978517981401
"log-Logistic",830.892428068977,838.140463081352
"log-Normal",832.426723903983,839.674758916358
"1-knot spline hazard",833.595635533324,844.467688051886
"1-knot spline odds",832.866011746211,843.738064264773
"2-knot spline hazard",833.841192609277,848.337262634026
"2-knot spline odds",833.894226012295,848.390296037044
"2-knot spline normal",833.944864756177,848.440934780927
"3-knot spline hazard",831.830836165375,849.950923696312
"3-knot spline odds",831.775392126651,849.895479657588
"3-knot spline normal",831.743239797012,849.863327327949
